transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
11/10/2020,Spouse,BYND,"Beyond Meat, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/a0010f4a-c31a-4824-8b6d-6399b3ccb6f0/
11/16/2020,Spouse,BA,The Boeing Company,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/16/2020,Spouse,V,Visa Inc.,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/24/2020,Spouse,COST,Costco Wholesale Corporation,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/04/2020,Spouse,COST,Costco Wholesale Corporation,Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/09/2020,Spouse,BA,The Boeing Company,Stock,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/11/2020,Spouse,--,msft,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/04/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/17/2020,Joint,W,Wayfair Inc.,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/16/2020,Spouse,DAL,"Delta Air Lines, Inc.",Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/16/2020,Spouse,--,Walmart Inc.,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/10/2020,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/09/2020,Spouse,--,aapl,Stock,Sale (Partial),"$50,001 - $100,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/09/2020,Spouse,--,ba,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/04/2020,Spouse,--,zm,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
12/02/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard Blumenthal,https://efdsearch.senate.gov/search/view/paper/2a123633-1454-49ff-8c3b-c4028372a119/
11/30/2020,Spouse,--,ACAP STRAGIC INTERVAL,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/30/2020,Spouse,--,"OWENS &amp; MINOR <div class=""text-muted""><em>Rate/Coupon:</em> 3.875%<br> <em>Matures:</em> 09/15/2021</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/30/2020,Spouse,--,"OWENS &amp; MINOR <div class=""text-muted""><em>Rate/Coupon:</em> 3.875%<br> <em>Matures:</em> 09/15/2021</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,V,Visa Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,QCOM,QUALCOMM Incorporated,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,SNPS,"Synopsys, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,GOLD,Barrick Gold Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,OHI,"Omega Healthcare Investors, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,WIW,Western Asset Inflation-Linked Opportunities &amp; Inc,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,ERIC,Telefonaktiebolaget LM Ericsson (publ),Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,SBIO,ALPS Medical Breakthroughs ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,ARE,"Alexandria Real Estate Equities, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,LGI,"Lazard Global Total Return and Income Fund, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,ABYIX,Abbey Capital Futures Strategy Fund Class I,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,MRVL,Marvell Technology Group Ltd.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,BRKR,Bruker Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,MANT,ManTech International Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,ACIW,"ACI Worldwide, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,SWKS,"Skyworks Solutions, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,NUAN,"Nuance Communications, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,SRVR,Pacer Benchmark Data &amp; Infrastructure Real Estate,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,CONE,CyrusOne Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,CEF,Sprott Physical Gold and Silver Trust,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,WW,"WW International, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,XAR,SPDR S&amp;P Aerospace &amp; Defense ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,GLD,SPDR Gold Shares,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,GMAB,Genmab A/S,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,BAH,Booz Allen Hamilton Holding Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,ABBV,AbbVie Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,FDN,First Trust Dow Jones Internet Index Fund,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,HBI,Hanesbrands Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,ATVI,"Activision Blizzard, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,FTNT,"Fortinet, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,RTH,VanEck Vectors Retail ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,NTLA,"Intellia Therapeutics, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,RODM,Hartford Multifactor Developed Markets (ex-US) ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,PTLC,Pacer Trendpilot US Large Cap ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,PTNQ,Pacer Trendpilot 100 ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,PTMC,Pacer Trendpilot US Mid Cap ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth F,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,MAXR,Maxar Technologies Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,ARNA,"Arena Pharmaceuticals, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,KEYS,"Keysight Technologies, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,PAGS,PagSeguro Digital Ltd.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,CTVA,"Corteva, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,VIAV,Viavi Solutions Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,SI,Silvergate Capital Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,CRWD,"CrowdStrike Holdings, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,DOW,Dow Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,DDOG,"Datadog, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,EVOP,"EVO Payments, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$50,001 - $100,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,GLW,Corning Incorporated,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,HAL,Halliburton Company,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,PAAS,Pan American Silver Corp.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,TMO,Thermo Fisher Scientific Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/20/2020,Spouse,LUBFX,Lord Abbett Ultra Short Bond Fund Class F,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
11/16/2020,Spouse,RIO,Rio Tinto Group,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
10/13/2020,Joint,--,"XEROX CORP <div class=""text-muted""><em>Rate/Coupon:</em> 4.5%<br> <em>Matures:</em> 05/15/21</div>",Corporate Bond,Sale (Full),"$1,001 - $15,000",Called bond,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/d95fd568-e9c2-4715-b405-88c2758b44cc/
10/09/2020,Self,FTV,Fortive Corporation (Exchanged) <br> Vontier Corporation (Received),Stock,Exchange,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/d95fd568-e9c2-4715-b405-88c2758b44cc/
10/16/2020,Child,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/4e013e86-56bf-4a73-90ea-d7badba4ac9b/
10/16/2020,Child,WDAY,"Workday, Inc.",Stock,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/4e013e86-56bf-4a73-90ea-d7badba4ac9b/
10/16/2020,Child,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/4e013e86-56bf-4a73-90ea-d7badba4ac9b/
10/16/2020,Child,WDAY,"Workday, Inc.",Stock,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/4e013e86-56bf-4a73-90ea-d7badba4ac9b/
10/16/2020,Child,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/4e013e86-56bf-4a73-90ea-d7badba4ac9b/
10/16/2020,Child,WDAY,"Workday, Inc.",Stock,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/4e013e86-56bf-4a73-90ea-d7badba4ac9b/
10/08/2020,Spouse,--,"Federal Farm Credit Bank 3133EMBH4 <div class=""text-muted""><em>Rate/Coupon:</em> 0.530%<br> <em>Matures:</em> 09/29/2025</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a5290af9-921b-4ff6-89f8-a9e67afca49a/
10/27/2020,Self,--,"EMSG LLC <div class=""text-muted""> <em>Company:</em> EMSG LLC &nbsp;(Rockville, MD) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Secured Debt</div>",Other Securities,Sale (Full),"$1,000,001 - $5,000,000",Underlying asset of TZG-Sachs Empire LLC,Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/83fef034-a45e-4231-a63c-2ac7724db8e2/
10/13/2020,Spouse,BBY,"Best Buy Co., Inc.",Stock,Sale (Full),"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/e0765bf5-fe1d-4340-b00d-925cf1782fea/
10/13/2020,Spouse,NVAX,"Novavax, Inc.",Stock,Sale (Full),"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/e0765bf5-fe1d-4340-b00d-925cf1782fea/
09/25/2020,Joint,--,"CARROLL CNTY GA SCH DIST GO 5% 04/01/27 AO (MUNI) <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 04/01/2027</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/ae43a348-f7c9-49a4-b229-38e6e87279c5/
10/30/2020,Spouse,IJR,iShares Core S&amp;P Small-Cap ETF,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/b56343cd-5fdf-41ea-a5f7-dcbf810d3b23/
10/30/2020,Spouse,--,GMSYX - GOLDMAN SACHS SM MD CAP GROWTH I,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/b56343cd-5fdf-41ea-a5f7-dcbf810d3b23/
10/30/2020,Spouse,--,GMSYX - GOLDMAN SACHS SM MD CAP GROWTH I,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/b56343cd-5fdf-41ea-a5f7-dcbf810d3b23/
09/09/2020,Joint,CB,Chubb Limited,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/7246e5b3-88d3-49b0-8c41-946dbf1cbba2/
09/30/2020,Joint,TT,Trane Technologies plc,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/7246e5b3-88d3-49b0-8c41-946dbf1cbba2/
09/30/2020,Self,TT,Trane Technologies plc,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/7246e5b3-88d3-49b0-8c41-946dbf1cbba2/
09/18/2020,Spouse,--,"New York St Dorm Auth Sales Tax Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 03/15/2036</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/abb66306-3276-4a3e-acd6-698cf63e71d4/
10/13/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard Blumenthal,https://efdsearch.senate.gov/search/view/paper/de3406b8-6047-4f08-8c2e-2f20aa280112/
09/11/2020,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/f0902f8a-6b89-4971-96a6-7b5e55b4f34e/
09/14/2020,Child,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Underlying asset of dependent #1,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/7a16edce-2afd-47e6-bd0b-ba09dda254e9/
09/14/2020,Child,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Underlying asset of dependent #2,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/7a16edce-2afd-47e6-bd0b-ba09dda254e9/
09/23/2020,Child,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Underlying asset of dependent #3,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/7a16edce-2afd-47e6-bd0b-ba09dda254e9/
09/08/2020,Spouse,--,"Federal Farm Credit Bank 3133EL7F5 <div class=""text-muted""><em>Rate/Coupon:</em> 0.180%<br> <em>Matures:</em> 09/15/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/ccf754fc-faaa-41b0-8393-fa3abd544f7e/
09/28/2020,Spouse,--,"MAINE STATE HSG AUTH REV <div class=""text-muted""><em>Rate/Coupon:</em> 2.60%<br> <em>Matures:</em> 11/15/2022</div>",Municipal Security,Sale (Full),"$15,001 - $50,000","REDEMPTION ""CALLED""","Angus S King, Jr.",https://efdsearch.senate.gov/search/view/ptr/9054bb2c-2d54-4ea8-adef-f982a54ecd7a/
09/24/2020,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/91e69374-43c4-4d64-b8ff-ec90e769865d/
09/22/2020,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/91e69374-43c4-4d64-b8ff-ec90e769865d/
09/22/2020,Spouse,WIW,Western Asset Inflation-Linked Opportunities &amp; Inc,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/91e69374-43c4-4d64-b8ff-ec90e769865d/
09/22/2020,Spouse,ATOAX,Aberdeen Ultra Short Municipal Income Fund Class A,Other Securities,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/91e69374-43c4-4d64-b8ff-ec90e769865d/
09/04/2020,Spouse,BA,The Boeing Company,Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6f691f61-e375-42ab-af01-72da4328447c/
09/04/2020,Spouse,WMT,Walmart Inc.,Stock,Sale (Full),"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6f691f61-e375-42ab-af01-72da4328447c/
09/17/2020,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6f691f61-e375-42ab-af01-72da4328447c/
09/14/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6f691f61-e375-42ab-af01-72da4328447c/
09/11/2020,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6f691f61-e375-42ab-af01-72da4328447c/
09/09/2020,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6f691f61-e375-42ab-af01-72da4328447c/
